,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
53,13%,"Gaillac, Southwest France, France",750 ml,White, France,4/1/2021,"
                      The local Loin de l'Oeil grape (the name means far from the eye, because it's difficult to spot the bunches) makes up 85% of this wine, giving it lemon and kiwi fruit flavors. These gain richness from touches of spice and creamed pear. Drink this perfumed, still-young wine from late 2021. Organic.                      Roger Voss ",Les Gravels Blanc,Domaine Rotier 2019 Les Gravels Blanc White (Gaillac),$23, Southwest France,88,Gaillac,,Not rated yet [Add Your Review],White Blend,2019,Domaine Rotier
54,12.5%,"Jurançon, Southwest France, France",750 ml,Dessert, France,4/1/2021,"
                      Young and poised between sweetness and dryness, this wine has the good acidity that comes from the two Manseng grapes. Orange zest and fruitiness give freshness, with a rich undercurrent from the late-harvest fruit. Drink the wine now. Organic.                      Roger Voss ",Lapeyre Moelleux,Lapeyre 2019 Lapeyre Moelleux  (Jurançon),$20, Southwest France,88,Jurançon,,Not rated yet [Add Your Review],"Gros and Petit Manseng, White Blend",2019,Lapeyre
55,14%,"Santorini, Greece",750 ml,White, Greece,4/1/2021,"
                      This white blend offers an intriguing nose of citrus spice, matchstick and flowers, followed by vanilla spice, smoke, herbs and lemon fruit. Its finish is minerally and clean.                      Susan Kostrzewa ",ASPA Volcanic Terroir,Santo Wines 2018 ASPA Volcanic Terroir White (Santorini),$28,Santorini,87,,,Not rated yet [Add Your Review],White Blend,2018,Santo Wines
56,12%,"Mantinia, Greece",750 ml,White, Greece,4/1/2021,"
                      Pretty floral and citrus aromas give this white blend immediate appeal. On the palate, it's fruity with a nice zap of acidity throughout. The wine is easy to drink and offers a delicate balance of minerals and fleshier flavor.                      Susan Kostrzewa ",,Nasiakos 2019 White (Mantinia),$18,Mantinia,87,,,Not rated yet [Add Your Review],White Blend,2019,Nasiakos
57,11.5%,"Côtes de Gascogne, Southwest France, France",750 ml,White, France,4/1/2021,"
                      A typical Gascon blend of Colombard and Ugni Blanc is perfumed with Gros Manseng. The result is this brightly textured, crisp wine that has a tangy citrus character along with friendly white fruits. Drink this wine now.                      Roger Voss ",Harmonie de la Taste,Domaine la Taste 2019 Harmonie de la Taste White (Côtes de Gascogne),$14, Southwest France,86,Côtes de Gascogne,,Not rated yet [Add Your Review],White Blend,2019,Domaine la Taste
58,14.1%,"El Dorado, Sierra Foothills, California, US",750 ml,White, US,4/1/2021,"
                      This full-bodied wine is difficult to categorize. It shows a slight tawny tinge in its color, has a chalky mineral-like aromas and offers a toasted almond flavor. It leans heavily toward a savory, earthy expression.                      Jim Gordon ",Baby Rattlesnake Vineyard,E16 2019 Baby Rattlesnake Vineyard Viognier-Grenache Blanc (El Dorado),$35, California,86, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],"Viognier-Grenache Blanc, White Blend",2019,E16
59,9.5%,"Rheinhessen, Germany",750 ml,White, Germany,4/1/2021,"
                      Grapefruit, pineapple and peach are juicy and forward in this alphabet-soup blend of Faberrebe, Silvaner, Bacchus, Kerner and Huxelrebe grapes. Medium-sweet and balanced by bright tangerine acidity, it's an easy-drinking, straightforward sip that's best enjoyed young.                      Anna Lee C. Iijima ",Weinkellerei Kreusch Spätlese,Leonard Kreusch 2019 Weinkellerei Kreusch Spätlese White (Rheinhessen),$15,Rheinhessen,86,,,Not rated yet [Add Your Review],White Blend,2019,Leonard Kreusch
60,12.8%,"Global, Global",750 ml,White, Global,4/1/2021,"
                      This global blend is made from 83% Sauvignon Blanc sourced from New York's North Fork and 17% Vermentino from the Languedoc in France. Aromas of ripe pineapple, lemon and kerosene lead to the rounded, juicy palate. The fruit gets a bit muddled, not showing much definition or purity, but there's decent lift from bright acidity.                      Alexander Peartree ",French-American Blend No. 2. Julia's Sauvignon Blend,Maiden + Liberty 2017 French-American Blend No. 2. Julia's Sauvignon Blend White (Global),$20,Global,84,,,Not rated yet [Add Your Review],White Blend,2017,Maiden + Liberty
61,14.5%,"Wiener Gemischter Satz, Austria",750 ml,White, Austria,3/1/2021,"
                      A juicy ripeness is projected by the aromas of pear and apricot on the nose. These are followed by a sense of earthy richness and a slightly honeyed edge. The palate then focuses on a yeast tone that gives so much texture to this full-fruited wine. There is a vein of freshness, too, that pulls everything into focus.                      Anne Krebiehl MW ",Nussber Ried Ulm,Wieninger 2019 Nussber Ried Ulm White (Wiener Gemischter Satz),$45,Wiener Gemischter Satz,94,,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2019,Wieninger
62,14.1%,"Rioja, Northern Spain, Spain",750 ml,White, Spain,3/1/2021,"
                      A fully oaked but elegant nose with notes of vanilla, lemon curd and melon makes a big statement, while this is gorgeous on the palate, with weight and piercing acidity. Flavors of vanilla, wood grain, fresh corn, golden apple and melon finish long and classy. This is a superb white Rioja based mostly on Chardonnay. Enjoy through 2024.                      Michael Schachner ",,Bodegas Tobía 2018 White (Rioja),$50, Northern Spain,94,Rioja,,Not rated yet [Add Your Review],"Chardonnay-Tempranillo Blanco, White Blend",2018,Bodegas Tobía
63,13.5%,"Wiener Gemischter Satz, Austria",750 ml,White, Austria,3/1/2021,"
                      Honeyed richness is carried on the very first whiff. More air then reveals dried apricot, blossom honey and ripe Amalfi lemon zest. The concentrated palate, however, homes in on the zesty part and channels the undoubted richness, almost unctuousness of this wine into fine, clear freshness. This has body and curve, power and concentration but also finesse. Drink by 2035.                      Anne Krebiehl MW ",Nussberg Ried Rosengartl,Wieninger 2018 Nussberg Ried Rosengartl White (Wiener Gemischter Satz),$50,Wiener Gemischter Satz,94,,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2018,Wieninger
64,13.6%,"Oakville, Napa, California, US",750 ml,White, US,3/1/2021,"
                      This wine is a blend of 79% Sauvignon Blanc and 21% Sémillon, fermented in a mix of Acacia, neutral French oak, stainless steel and concrete egg. The texture is stony and silky, with fresh flavors of peach, melon and blood orange.                      Virginie Boone ",Estate,Groth 2019 Estate White (Oakville),$50, California,93, Napa,Oakville,Not rated yet [Add Your Review],White Blend,2019,Groth
65,13.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,3/1/2021,"
                      The white Burgundian blend is a lost, or perhaps never found, art in the New World, but Jim Clendenen's blend of 55% Pinot Gris, 40% Pinot Blanc and 5% Aligoté always makes one wonder why. Aromas of freshly squeezed lemon, honeysuckle, grapefruit peel, Asian pear and light pecan lead into a texturally taut palate that blends brisk citrus and warm, salty flavors seamlessly.                      Matt Kettmann ",Hildegard,Au Bon Climat 2018 Hildegard White (Santa Maria Valley),$35, California,93, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],White Blend,2018,Au Bon Climat
66,13.5%,"Wiener Gemischter Satz, Austria",750 ml,White, Austria,3/1/2021,"
                      The lovely scent of ripe, green pear is imbued with hints of orange peel and gentle yeastiness. The palate continues in the same aromatic fashion, fusing rounded, orange and pear-scented ripeness and a creamy texture that seems to be spiked with ripe lemon zest. Residual carbon dioxide makes for a little extra spritz that enhances these flavors beautifully.                      Anne Krebiehl MW ",Ried Gollin Nussberg,Fuhrgassl-Huber 2019 Ried Gollin Nussberg White (Wiener Gemischter Satz),$30,Wiener Gemischter Satz,93,,,Not rated yet [Add Your Review],"Austrian white blend, White Blend",2019,Fuhrgassl-Huber
