,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
331,15.8%,"Horse Heaven Hills, Columbia Valley, Washington, US",750 ml,Red, US,10/1/2020,"
                      Aromas of date and fig are followed by front-loaded flavors that trail toward the warm finish. The fruit seems quite evolved. Drink now.                      Sean P. Sullivan ",Alder Ridge Vineyard,Forgeron 2017 Alder Ridge Vineyard Zinfandel (Horse Heaven Hills),$35, Washington,87, Columbia Valley,Horse Heaven Hills,Not rated yet [Add Your Review],Zinfandel,2017,Forgeron
332,13.8%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,10/1/2020,"
                      Abundant baking spices and a touch of wood smoke dominate the aroma of this full-bodied and moderately tannic wine, while jammy fruit flavors come out on the palate.                      Jim Gordon ",Merrill Vineyards Reserve,Charles B. Mitchell 2018 Merrill Vineyards Reserve Zinfandel (El Dorado),$35, California,87, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],Zinfandel,2018,Charles B. Mitchell
333,13.8%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,10/1/2020,"
                      Jammy, almost sweet flavors and a wild berry component give this medium-bodied and non-tannic wine plenty of varietal character uncompromised by oaky flavors. It bursts with fruitiness and freshness.                      Jim Gordon ",Spanish Creek Reserve,Charles B. Mitchell 2018 Spanish Creek Reserve Zinfandel (El Dorado),$28, California,87, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],Zinfandel,2018,Charles B. Mitchell
334,14.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,10/1/2020,"
                      Deep, dark and oaky aromas of black cherry, toast, vanilla and caramel are quite ripe and woody on the nose of this bottling. There is more lushness to the palate, where those same exact elements are all at play.                      Matt Kettmann ",,Maddalena 2018 Zinfandel (Paso Robles),$25, California,87, Central Coast,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2018,Maddalena
335,14.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,10/1/2020,"
                      Baked cherry, seared blackberry, a hint of herbs and a bit of charcoal show on the nose of this bottling. The palate is quite young and unrefined still, with roasted blackberry and tar flavors, and stiff tannins.                      Matt Kettmann ",Mossfire Ranch,Rabble 2017 Mossfire Ranch Zinfandel (Paso Robles),$23, California,87, Central Coast,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2017,Rabble
336,15%,"Primitivo di Manduria, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Heady aromas of toasted vanilla, anise and clove carry over the rich dark berry jam core. This is full in feel on the palate, with oak tones firmly wrapping around the coiled dark-berry fruit. While there is a lot of oak, the fruit is still there to flesh it out. It's a full, flashy and rich style.                      Alexander Peartree ",Licurti,Trullo di Pezza 2017 Licurti  (Primitivo di Manduria),$22, Southern Italy,87,Primitivo di Manduria,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2017,Trullo di Pezza
337,16%,"Sonoma County, Sonoma, California, US",750 ml,Red, US,10/1/2020,"
                      Gigantically ripe and concentrated, this wine is thick and rich in tar, blackberry syrup and dark chocolate. It finishes velvety and sweet in tobacco leaf.                      Virginie Boone ",Rattlesnake,Mount Peak 2017 Rattlesnake Zinfandel (Sonoma County),$48, California,87, Sonoma,Sonoma County,Not rated yet [Add Your Review],Zinfandel,2017,Mount Peak
338,14.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,10/1/2020,"
                      Baked cherry, seared blackberry, a hint of herbs and a bit of charcoal show on the nose of this bottling. The palate is quite young and unrefined still, with roasted blackberry and tar flavors, and stiff tannins.                      Matt Kettmann ",Mossfire Ranch,Rabble 2017 Mossfire Ranch Zinfandel (Paso Robles),$23, California,87, Central Coast,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2017,Rabble
339,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      A warm spice tone reminiscent of Chinese five-spice powder is ensconced in the ripe cherry and blackberry tones of this wine. It's smooth and silken on the palate, with creamy berry flavors that are lifted by zesty acidity. Well-mannered tannins support it all, giving this a vibe that will appeal to many.                      Alexander Peartree ",Pilùna,Castello Monaci 2018 Pilùna Primitivo (Salento),$15, Southern Italy,87,Salento,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Castello Monaci
340,14.8%,"Columbia Valley (OR), Oregon Other, Oregon, US",750 ml,Red, US,10/1/2020,"
                      Caramel, char, toasty barrel-spice and cherry aromas lead to ripe red-fruit and coffee flavors that are light through the middle. The variety seems hard to find.                      Sean P. Sullivan ",,Catman 2017 Zinfandel (Columbia Valley (OR)),$32, Oregon,87, Oregon Other,Columbia Valley (OR),Not rated yet [Add Your Review],Zinfandel,2017,Catman
341,15.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Aromas of balsamic-dipped cherries, tar and rubber carry the nose, while the plush, rounded palate offers more appeal in rich blackberry flavors. Oak and tannins are in full force, with just enough fruit weight and acidity to balance it all out.                      Alexander Peartree ",Visellio,Tenute Rubino 2016 Visellio Primitivo (Salento),$27, Southern Italy,87,Salento,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2016,Tenute Rubino
342,14%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Bright, bouncy aromas of cherry and cranberry mix with integrated warm spice tones on the nose. It's silky in feel on entry, with flavors of juicy spiced blackberry lifted by violet. Mildly clenching tannins give a bit of grip and bite, but this rounds out well come the finish.                      Alexander Peartree ",Organic,Amastuola 2018 Organic Primitivo (Puglia),$13, Southern Italy,87,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Amastuola
343,14.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,10/1/2020,"
                      Bright aromas of balsamic-dipped cherries, crushed black pepper and anise form the nose of this accessible red. It's light and zesty on the palate, driven by jammy cherry and blackberry flavors that are lifted and pure. Fine tannins lend some grip to the feel, while an orange marmalade tone arises on the finish.                      Alexander Peartree ",Nèprica,Tormaresca 2018 Nèprica Primitivo (Puglia),$12, Southern Italy,87,Puglia,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Tormaresca
